Microsoft.Ceres.Common.WcfUtils.dll,Microsoft.Ceres.Common.WcfUtils,ClientFactory
Microsoft.Ceres.Common.WcfUtils.dll,Microsoft.Ceres.Common.WcfUtils,CorrelationEndPointBehavior
Microsoft.Ceres.Common.WcfUtils.dll,Microsoft.Ceres.Common.WcfUtils,CorrelationEndPointBehavior/CorrelationState
Microsoft.Ceres.Common.WcfUtils.dll,Microsoft.Ceres.Common.WcfUtils,CorrelationHeaderInformation
Microsoft.Ceres.Common.WcfUtils.dll,Microsoft.Ceres.Common.WcfUtils,WcfHelper
Microsoft.Ceres.Common.WcfUtils.dll,Microsoft.Ceres.Common.WcfUtils,WcfServiceConfigurator
Microsoft.Ceres.ContentEngine.Admin.dll,Microsoft.Ceres.ContentEngine.Admin,IKeepAliveService
Microsoft.Ceres.ContentEngine.Admin.dll,Microsoft.Ceres.ContentEngine.Admin.FlowService,IFlowServiceManagementAgent
Microsoft.Ceres.ContentEngine.Parsing.Component.dll,Microsoft.Ceres.ContentEngine.Parsing.Component,FileFormatInfo
Microsoft.Ceres.ContentEngine.Parsing.Component.dll,Microsoft.Ceres.ContentEngine.Parsing.Component,IParsingManagementAgent
Microsoft.Ceres.ContentEngine.Types.dll,Microsoft.Ceres.ContentEngine.Types,IXmlField
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,IAdminServiceManagementAgent
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,NodeInfo
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,NodeStartupType
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,PackageContent
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,PackageInfo
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,SearchActivity
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,SearchActivity/SearchActivityChange
Microsoft.Ceres.CoreServices.Admin.dll,Microsoft.Ceres.CoreServices.Admin,SearchActivity/SearchActivityState
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Configuration,ConfigPropertyAttribute
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Container,ComponentState
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Container,IManagedObjectMetadata
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.HealthCheck,HealthCheckInfo
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.HealthCheck,HealthCheckState
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.HealthCheck,SystemStatusInfo
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,AbstractBootstrapLogWriter
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,BootstrapLogWriter1
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,BootstrapLogWriter2
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,BootstrapLogWriterFactory
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,ILogWriter
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,ILogWriterFactory
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,LogLevel
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,LogLevelExtension
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Logging,Logs
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Management,IManagementAgent
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Management,IPerformanceStatisticsProvider
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Management,NetDataContractSerializerOperationBehavior
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Node,INodeControllerManagementAgent
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Node,NodeState
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Package,DeploymentNotificationAction
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Package,IPackage
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Package,IPackageManager
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Package,PackageDeploymentType
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Package,PackagePropertyAttribute
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Package,SelectOptions
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Registration,IServiceFactory
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.Registration,IServiceProperties
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,IComponentView
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,INodeView
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,IServiceExposureView
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,IServiceInjectionView
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,IServiceView
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,ISystemManagerManagementAgent
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager,ISystemState
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager.Constellation,ConstellationStatus
Microsoft.Ceres.CoreServices.Services.dll,Microsoft.Ceres.CoreServices.Services.SystemManager.Constellation,OperationId
Microsoft.Ceres.CoreServices.Tools.Management.Client.dll,Microsoft.Ceres.CoreServices.Tools.Management.Client,AbstractManagementClient
Microsoft.Ceres.CoreServices.Tools.Management.Client.dll,Microsoft.Ceres.CoreServices.Tools.Management.Client,AbstractSystemClient
Microsoft.Ceres.CoreServices.Tools.Management.Client.dll,Microsoft.Ceres.CoreServices.Tools.Management.Client,SystemClient
Microsoft.Ceres.CoreServices.Tools.Management.Client.dll,Microsoft.Ceres.CoreServices.Tools.Management.Client,SystemClient/SystemClientMutex
Microsoft.Ceres.CoreServices.Tools.Management.Client.dll,Microsoft.Ceres.CoreServices.Tools.Management.Client,WcfManagementClient
Microsoft.Ceres.CoreServices.Tools.Management.Client.dll,Microsoft.Ceres.CoreServices.Tools.Management.Client,WcfManagementClient/ManagementAgentProxy
Microsoft.Ceres.CoreServices.Utils.dll,Microsoft.Ceres.CoreServices.Utils.Async,AsyncHandle
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,CatchBlock
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,EVENT_TRACE_INFORMATION_CLASS
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,EVENT_TRACE_PROPERTIES
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,EVENT_TRACE_TIME_PROFILE_INFORMATION
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ExoTags
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,FASTEventSource
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,FinallyBlock
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,FlowType
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,OperationType
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,PCID
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,PCIDBase
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,POID
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,POIDBase
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,PreProcessTraceHandler
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,ProviderDataItem
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,SYSTEM_INFORMATION_CLASS
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,SendTraceHandler
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TaggingUtilities
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TraceEventLevel
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TraceEventOptions
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TraceEventProviders
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracePointNames
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TraceSession
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/ENABLE_TRACE_PARAMETERS
Microsoft.Ceres.Diagnostics.dll,Microsoft.Ceres.Diagnostics,TracingNativeMethods/EVENT_FIELD_TYPE
